"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","predicted","-","0.96",,"BUB1B (FI) NCAPG","true",,"BUB1B (FI) NCAPG"
"FI","predicted","-","0.9",,"BRIX1 (FI) UTP14A","true",,"BRIX1 (FI) UTP14A"
"FI","predicted","-","0.92",,"AURKA (FI) DEPDC1","true",,"AURKA (FI) DEPDC1"
"FI","complex","-","1.0",,"CEP250 (FI) CEP63","true",,"CEP250 (FI) CEP63"
"FI","catalyzed by; complex; input","<-","1.0",,"CCAR1 (FI) GTF2F2","true",,"CCAR1 (FI) GTF2F2"
"FI","predicted","-","0.91",,"RAD18 (FI) RAD50","true",,"RAD18 (FI) RAD50"
"FI","predicted","-","0.9",,"ZNF280C (FI) ZNF799","true",,"ZNF280C (FI) ZNF799"
"FI","complex","-","1.0",,"PDCD11 (FI) WDR36","true",,"PDCD11 (FI) WDR36"
"FI","activate; inhibited by; reaction","|->","1.0",,"CEBPA (FI) NCOA3","true",,"CEBPA (FI) NCOA3"
"FI","predicted","-","0.91",,"HNF4A (FI) NCOA3","true",,"HNF4A (FI) NCOA3"
"FI","predicted","-","0.98",,"NOLC1 (FI) UTP14A","true",,"NOLC1 (FI) UTP14A"
"FI","predicted","-","0.92",,"LUC7L3 (FI) SRPK1","true",,"LUC7L3 (FI) SRPK1"
"FI","predicted","-","0.9",,"ZNF431 (FI) ZNF664","true",,"ZNF431 (FI) ZNF664"
"FI","predicted","-","0.94",,"GINS1 (FI) TPX2","true",,"GINS1 (FI) TPX2"
"FI","catalyze","->","1.0",,"PRKAA1 (FI) TP53","true",,"PRKAA1 (FI) TP53"
"FI","PPrel: activation","->","1.0",,"FGFR3 (FI) PLCB4","true",,"FGFR3 (FI) PLCB4"
"FI","complex","-","1.0",,"CEP250 (FI) CEP72","true",,"CEP250 (FI) CEP72"
"FI","complex; input","-","1.0",,"FGFR4 (FI) GAB1","true",,"FGFR4 (FI) GAB1"
"FI","complex","-","1.0",,"PDCD11 (FI) UTP14A","true",,"PDCD11 (FI) UTP14A"
"FI","predicted","-","0.97",,"KIF21A (FI) KIF21B","true",,"KIF21A (FI) KIF21B"
"FI","complex; input","-","1.0",,"AHI1 (FI) CEP290","true",,"AHI1 (FI) CEP290"
"FI","PPrel: activated by","<-","1.0",,"TAB3 (FI) TRAF5","true",,"TAB3 (FI) TRAF5"
"FI","catalyzed by","<-","1.0",,"CENPK (FI) ESPL1","true",,"CENPK (FI) ESPL1"
"FI","predicted","-","0.93",,"KIF14 (FI) UBE2C","true",,"KIF14 (FI) UBE2C"
"FI","PPrel: inhibition; activate; catalyze; complex; input","-","1.0",,"SIRT1 (FI) TP53","true",,"SIRT1 (FI) TP53"
"FI","predicted","-","0.93",,"LYAR (FI) NOP58","true",,"LYAR (FI) NOP58"
"FI","predicted","-","0.93",,"BRCA1 (FI) POLQ","true",,"BRCA1 (FI) POLQ"
"FI","predicted","-","0.97",,"MAD2L1 (FI) TPX2","true",,"MAD2L1 (FI) TPX2"
"FI","complex; input","-","1.0",,"AKAP9 (FI) RAB3IP","true",,"AKAP9 (FI) RAB3IP"
"FI","complex; input","-","1.0",,"DBF4 (FI) MCM8","true",,"DBF4 (FI) MCM8"
"FI","input","-","1.0",,"CDH1 (FI) CDHR1","true",,"CDH1 (FI) CDHR1"
"FI","activated by","<-","1.0",,"AGT (FI) PPARA","true",,"AGT (FI) PPARA"
"FI","predicted","-","0.93",,"BRIX1 (FI) DDX21","true",,"BRIX1 (FI) DDX21"
"FI","predicted","-","0.97",,"BRCA1 (FI) CENPF","true",,"BRCA1 (FI) CENPF"
"FI","predicted","-","0.95",,"BRCA1 (FI) CENPE","true",,"BRCA1 (FI) CENPE"
"FI","PPrel: activation","->","1.0",,"EREG (FI) FGFR4","true",,"EREG (FI) FGFR4"
"FI","PPrel: activation","->","1.0",,"GNG4 (FI) PRKAA1","true",,"GNG4 (FI) PRKAA1"
"FI","PPrel: activation","->","1.0",,"EREG (FI) FGFR3","true",,"EREG (FI) FGFR3"
"FI","complex; input","-","1.0",,"BUB1B (FI) NUF2","true",,"BUB1B (FI) NUF2"
"FI","complex; input","-","1.0",,"CEP72 (FI) HMMR","true",,"CEP72 (FI) HMMR"
"FI","predicted","-","0.9",,"AURKA (FI) DSN1","true",,"AURKA (FI) DSN1"
"FI","predicted","-","0.9",,"PRR11 (FI) TPX2","true",,"PRR11 (FI) TPX2"
"FI","expression regulated by","<-","1.0",,"BIN1 (FI) POU5F1","true",,"BIN1 (FI) POU5F1"
"FI","ECrel: compound","-","1.0",,"PIK3C2A (FI) PIP5K1B","true",,"PIK3C2A (FI) PIP5K1B"
"FI","input","-","1.0",,"CDH1 (FI) CDHR2","true",,"CDH1 (FI) CDHR2"
"FI","complex; input","-","1.0",,"CEP72 (FI) TPX2","true",,"CEP72 (FI) TPX2"
"FI","catalyzed by","<-","1.0",,"EIF4E (FI) PAN2","true",,"EIF4E (FI) PAN2"
"FI","predicted","-","0.91",,"CFTR (FI) SLC4A7","true",,"CFTR (FI) SLC4A7"
"FI","activated by; complex; reaction","<-","1.0",,"E2F5 (FI) TFDP2","true",,"E2F5 (FI) TFDP2"
"FI","predicted","-","0.96",,"TOP2A (FI) TOP2B","true",,"TOP2A (FI) TOP2B"
"FI","predicted","-","0.92",,"RBM39 (FI) SRPK1","true",,"RBM39 (FI) SRPK1"
"FI","activated by; complex; input","<-","1.0",,"MPHOSPH10 (FI) UTP15","true",,"MPHOSPH10 (FI) UTP15"
"FI","expression regulates","->","1.0",,"BCL11A (FI) ZNF823","true",,"BCL11A (FI) ZNF823"
"FI","reaction","-","1.0",,"NCOA3 (FI) SMC3","true",,"NCOA3 (FI) SMC3"
"FI","predicted","-","0.98",,"CDK1 (FI) TOP2A","true",,"CDK1 (FI) TOP2A"
"FI","complex; input","-","1.0",,"BIN1 (FI) EREG","true",,"BIN1 (FI) EREG"
"FI","predicted","-","0.9",,"BUB1B (FI) GINS1","true",,"BUB1B (FI) GINS1"
"FI","predicted","-","0.95",,"NEIL3 (FI) POLQ","true",,"NEIL3 (FI) POLQ"
"FI","complex; input","-","1.0",,"DYNC2LI1 (FI) KIF3B","true",,"DYNC2LI1 (FI) KIF3B"
"FI","complex","-","1.0",,"CDK1 (FI) HAUS3","true",,"CDK1 (FI) HAUS3"
"FI","catalyze","->","1.0",,"ATR (FI) CDC7","true",,"ATR (FI) CDC7"
"FI","predicted","-","0.9",,"CEP55 (FI) NCAPG","true",,"CEP55 (FI) NCAPG"
"FI","predicted","-","0.9",,"ZNF485 (FI) ZNF92","true",,"ZNF485 (FI) ZNF92"
"FI","catalyze","->","1.0",,"ESPL1 (FI) KNTC1","true",,"ESPL1 (FI) KNTC1"
"FI","complex; input","-","1.0",,"RPAP2 (FI) TAF5","true",,"RPAP2 (FI) TAF5"
"FI","catalyzed by","<-","1.0",,"CENPF (FI) ESPL1","true",,"CENPF (FI) ESPL1"
"FI","complex","-","1.0",,"MPHOSPH10 (FI) UTP20","true",,"MPHOSPH10 (FI) UTP20"
"FI","predicted","-","0.9",,"CEP55 (FI) HMMR","true",,"CEP55 (FI) HMMR"
"FI","predicted","-","0.89",,"AURKA (FI) TOP2A","true",,"AURKA (FI) TOP2A"
"FI","predicted","-","0.96",,"GINS1 (FI) NCAPG2","true",,"GINS1 (FI) NCAPG2"
"FI","predicted","-","0.97",,"CENPE (FI) NCAPG","true",,"CENPE (FI) NCAPG"
"FI","predicted","-","0.9",,"ARHGAP11A (FI) KIF11","true",,"ARHGAP11A (FI) KIF11"
"FI","predicted","-","0.9",,"ZNF280C (FI) ZNF44","true",,"ZNF280C (FI) ZNF44"
"FI","predicted","-","0.96",,"SPAG5 (FI) UBE2C","true",,"SPAG5 (FI) UBE2C"
"FI","predicted","-","0.9",,"ARHGAP11A (FI) KIF14","true",,"ARHGAP11A (FI) KIF14"
"FI","predicted","-","0.9",,"ARHGAP11A (FI) KIF15","true",,"ARHGAP11A (FI) KIF15"
"FI","predicted","-","0.94",,"FANCD2 (FI) TOP2A","true",,"FANCD2 (FI) TOP2A"
"FI","PPrel: activation; catalyze; catalyzed by; complex; input","<->","1.0",,"PLCG1 (FI) VAV3","true",,"PLCG1 (FI) VAV3"
"FI","predicted","-","0.91",,"AHCTF1 (FI) RIF1","true",,"AHCTF1 (FI) RIF1"
"FI","predicted","-","0.95",,"CDC25C (FI) CENPE","true",,"CDC25C (FI) CENPE"
"FI","predicted","-","0.96",,"CDC25C (FI) CENPF","true",,"CDC25C (FI) CENPF"
"FI","complex; input","-","1.0",,"AREG (FI) PLCG1","true",,"AREG (FI) PLCG1"
"FI","predicted","-","0.9",,"HELLS (FI) RBL1","true",,"HELLS (FI) RBL1"
"FI","PPrel: activation","->","1.0",,"GNG4 (FI) PIK3CB","true",,"GNG4 (FI) PIK3CB"
"FI","catalyzed by","<-","1.0",,"GPC4 (FI) HS2ST1","true",,"GPC4 (FI) HS2ST1"
"FI","complex","-","1.0",,"CDK1 (FI) IQCB1","true",,"CDK1 (FI) IQCB1"
"FI","complex; input","-","1.0",,"AURKA (FI) BRCA1","true",,"AURKA (FI) BRCA1"
"FI","complex; input","-","1.0",,"FNBP1L (FI) TGOLN2","true",,"FNBP1L (FI) TGOLN2"
"FI","complex; input","-","1.0",,"CFTR (FI) DNAJC6","true",,"CFTR (FI) DNAJC6"
"FI","complex; input","-","1.0",,"CHD7 (FI) PPARG","true",,"CHD7 (FI) PPARG"
"FI","inhibited by","|-","1.0",,"GNG4 (FI) GPSM2","true",,"GNG4 (FI) GPSM2"
"FI","predicted","-","0.9",,"AURKA (FI) GINS1","true",,"AURKA (FI) GINS1"
"FI","predicted","-","0.93",,"KIF15 (FI) SPAG5","true",,"KIF15 (FI) SPAG5"
"FI","complex; input","-","1.0",,"GTF2F2 (FI) RNPC3","true",,"GTF2F2 (FI) RNPC3"
"FI","predicted","-","0.92",,"KIF20B (FI) NCAPG2","true",,"KIF20B (FI) NCAPG2"
"FI","complex; input","-","1.0",,"EIF2S2 (FI) EIF4E","true",,"EIF2S2 (FI) EIF4E"
"FI","predicted","-","0.91",,"PDCD11 (FI) RPF2","true",,"PDCD11 (FI) RPF2"
"FI","predicted","-","0.9",,"CCNA2 (FI) CKAP2L","true",,"CCNA2 (FI) CKAP2L"
"FI","complex; input","-","1.0",,"CEP250 (FI) TPX2","true",,"CEP250 (FI) TPX2"
"FI","catalyze; complex; input","->","1.0",,"ATR (FI) SMC3","true",,"ATR (FI) SMC3"
"FI","complex","-","1.0",,"NOP58 (FI) UTP20","true",,"NOP58 (FI) UTP20"
"FI","complex; input","-","1.0",,"BUB1B (FI) CENPK","true",,"BUB1B (FI) CENPK"
"FI","reaction","-","1.0",,"CEBPA (FI) HNF4A","true",,"CEBPA (FI) HNF4A"
"FI","PPrel: activated by","<-","1.0",,"DUOX2 (FI) DUOXA2","true",,"DUOX2 (FI) DUOXA2"
"FI","activate; inhibited by","|->","1.0",,"MYBL2 (FI) RBL1","true",,"MYBL2 (FI) RBL1"
"FI","complex; input","-","1.0",,"BUB1B (FI) CENPE","true",,"BUB1B (FI) CENPE"
"FI","complex; input","-","1.0",,"BUB1B (FI) CENPF","true",,"BUB1B (FI) CENPF"
"FI","PPrel: activation; PPrel: binding/association","->","1.0",,"CALML4 (FI) NOS2","true",,"CALML4 (FI) NOS2"
"FI","complex; input","-","1.0",,"DNAJC6 (FI) TGOLN2","true",,"DNAJC6 (FI) TGOLN2"
"FI","predicted","-","0.98",,"NUF2 (FI) SPAG5","true",,"NUF2 (FI) SPAG5"
"FI","complex; input","-","1.0",,"DNAJC6 (FI) SLC2A8","true",,"DNAJC6 (FI) SLC2A8"
"FI","predicted","-","0.97",,"CCNA2 (FI) TPX2","true",,"CCNA2 (FI) TPX2"
"FI","complex; input","-","1.0",,"BRCA2 (FI) MSH5","true",,"BRCA2 (FI) MSH5"
"FI","complex; input","-","1.0",,"AHI1 (FI) CEP250","true",,"AHI1 (FI) CEP250"
"FI","complex","-","1.0",,"CEP152 (FI) PLK4","true",,"CEP152 (FI) PLK4"
"FI","PPrel: inhibited by","|-","1.0",,"FOXO3 (FI) USP7","true",,"FOXO3 (FI) USP7"
"FI","predicted","-","0.9",,"ZNF280C (FI) ZNF367","true",,"ZNF280C (FI) ZNF367"
"FI","predicted","-","0.94",,"KNTC1 (FI) SPAG5","true",,"KNTC1 (FI) SPAG5"
"FI","PPrel: binding/association","-","1.0",,"KIF5B (FI) TUBAL3","true",,"KIF5B (FI) TUBAL3"
"FI","complex; input","-","1.0",,"CDK1 (FI) RAB3IP","true",,"CDK1 (FI) RAB3IP"
"FI","predicted","-","0.9",,"DEPDC1B (FI) PLK4","true",,"DEPDC1B (FI) PLK4"
"FI","predicted","-","0.91",,"FANCD2 (FI) FOXO3","true",,"FANCD2 (FI) FOXO3"
"FI","complex","-","1.0",,"UTP20 (FI) WDR36","true",,"UTP20 (FI) WDR36"
"FI","activated by; complex; input","<-","1.0",,"NOP58 (FI) UTP15","true",,"NOP58 (FI) UTP15"
"FI","predicted","-","0.95",,"EIF2S2 (FI) EIF5B","true",,"EIF2S2 (FI) EIF5B"
"FI","catalyzed by","<-","1.0",,"EREG (FI) PTPN3","true",,"EREG (FI) PTPN3"
"FI","expression regulated by","<-","1.0",,"ACOX1 (FI) HNF4A","true",,"ACOX1 (FI) HNF4A"
"FI","predicted","-","0.89",,"CDC7 (FI) NCAPG","true",,"CDC7 (FI) NCAPG"
"FI","predicted","-","0.9",,"ZNF431 (FI) ZNF692","true",,"ZNF431 (FI) ZNF692"
"FI","complex; input","-","1.0",,"KNTC1 (FI) NUF2","true",,"KNTC1 (FI) NUF2"
"FI","predicted","-","0.96",,"SKA3 (FI) TPX2","true",,"SKA3 (FI) TPX2"
"FI","predicted","-","0.9",,"KIF11 (FI) SMC4","true",,"KIF11 (FI) SMC4"
"FI","complex; input","-","1.0",,"AHCTF1 (FI) PDS5A","true",,"AHCTF1 (FI) PDS5A"
"FI","predicted","-","0.9",,"DEPDC1 (FI) NCAPG","true",,"DEPDC1 (FI) NCAPG"
"FI","predicted","-","0.95",,"CCNA2 (FI) SPAG5","true",,"CCNA2 (FI) SPAG5"
"FI","activate","->","1.0",,"CASP6 (FI) EIF4E","true",,"CASP6 (FI) EIF4E"
"FI","complex; input","-","1.0",,"DNAJC6 (FI) FNBP1L","true",,"DNAJC6 (FI) FNBP1L"
"FI","catalyze","->","1.0",,"CDK1 (FI) KNTC1","true",,"CDK1 (FI) KNTC1"
"FI","predicted","-","0.89",,"GINS1 (FI) SPAG5","true",,"GINS1 (FI) SPAG5"
"FI","predicted","-","0.92",,"NUAK2 (FI) PRKAA1","true",,"NUAK2 (FI) PRKAA1"
"FI","complex; input","-","1.0",,"FNBP1L (FI) SLC2A8","true",,"FNBP1L (FI) SLC2A8"
"FI","predicted","-","0.93",,"PTPN3 (FI) PTPRD","true",,"PTPN3 (FI) PTPRD"
"FI","predicted","-","0.89",,"HELLS (FI) KIF15","true",,"HELLS (FI) KIF15"
"FI","complex; input","-","1.0",,"CEP63 (FI) TPX2","true",,"CEP63 (FI) TPX2"
"FI","PPrel: activation","->","1.0",,"ITGA2 (FI) PIK3CB","true",,"ITGA2 (FI) PIK3CB"
"FI","predicted","-","0.93",,"DTL (FI) KIF11","true",,"DTL (FI) KIF11"
"FI","predicted","-","0.97",,"HELLS (FI) KIF14","true",,"HELLS (FI) KIF14"
"FI","GErel: expression by; PPrel: activation","<->","1.0",,"AXIN2 (FI) TCF7","true",,"AXIN2 (FI) TCF7"
"FI","catalyze","->","1.0",,"CDK1 (FI) LBR","true",,"CDK1 (FI) LBR"
"FI","predicted","-","0.97",,"DTL (FI) KIF14","true",,"DTL (FI) KIF14"
"FI","predicted","-","0.92",,"DTL (FI) KIF15","true",,"DTL (FI) KIF15"
"FI","activated by; catalyzed by","<-","1.0",,"BRCA2 (FI) CHEK1","true",,"BRCA2 (FI) CHEK1"
"FI","complex; input","-","1.0",,"CEP72 (FI) RAB3IP","true",,"CEP72 (FI) RAB3IP"
"FI","predicted","-","0.91",,"RAD18 (FI) TOP2A","true",,"RAD18 (FI) TOP2A"
"FI","predicted","-","0.91",,"ESF1 (FI) WDR36","true",,"ESF1 (FI) WDR36"
"FI","predicted","-","0.94",,"HELLS (FI) KIF11","true",,"HELLS (FI) KIF11"
"FI","predicted","-","0.92",,"ZNF664 (FI) ZNF692","true",,"ZNF664 (FI) ZNF692"
"FI","PPrel: indirect effect","-","1.0",,"ANK3 (FI) ROCK2","true",,"ANK3 (FI) ROCK2"
"FI","predicted","-","0.9",,"ZNF441 (FI) ZNF780B","true",,"ZNF441 (FI) ZNF780B"
"FI","predicted","-","0.93",,"ZNF445 (FI) ZNF485","true",,"ZNF445 (FI) ZNF485"
"FI","predicted","-","0.9",,"CKAP2L (FI) TPX2","true",,"CKAP2L (FI) TPX2"
"FI","complex; input","-","1.0",,"FNBP1L (FI) TFRC","true",,"FNBP1L (FI) TFRC"
"FI","complex; input","-","1.0",,"CEP290 (FI) HMMR","true",,"CEP290 (FI) HMMR"
"FI","predicted","-","0.92",,"GPD1 (FI) GPD1L","true",,"GPD1 (FI) GPD1L"
"FI","predicted","-","0.95",,"KIF15 (FI) TOP2A","true",,"KIF15 (FI) TOP2A"
"FI","predicted","-","0.9",,"BRD7 (FI) TOP1","true",,"BRD7 (FI) TOP1"
"FI","complex","-","1.0",,"CCAR1 (FI) CSTF3","true",,"CCAR1 (FI) CSTF3"
"FI","activated by","<-","1.0",,"FANCD2 (FI) RAD50","true",,"FANCD2 (FI) RAD50"
"FI","predicted","-","0.89",,"ESF1 (FI) PDCD11","true",,"ESF1 (FI) PDCD11"
"FI","predicted","-","0.89",,"ZNF253 (FI) ZNF91","true",,"ZNF253 (FI) ZNF91"
"FI","predicted","-","0.98",,"CENPF (FI) POLQ","true",,"CENPF (FI) POLQ"
"FI","complex; input","-","1.0",,"BRCA1 (FI) DNA2","true",,"BRCA1 (FI) DNA2"
"FI","catalyze","->","1.0",,"CNOT1 (FI) EIF4E","true",,"CNOT1 (FI) EIF4E"
"FI","predicted","-","0.9",,"DBF4 (FI) DTL","true",,"DBF4 (FI) DTL"
"FI","predicted","-","0.92",,"DTL (FI) MCM8","true",,"DTL (FI) MCM8"
"FI","complex; input","-","1.0",,"PIK3C2A (FI) TFRC","true",,"PIK3C2A (FI) TFRC"
"FI","PPrel: activation; complex; input","->","1.0",,"FGFR3 (FI) GAB1","true",,"FGFR3 (FI) GAB1"
"FI","predicted","-","0.9",,"ZNF253 (FI) ZNF92","true",,"ZNF253 (FI) ZNF92"
"FI","predicted","-","0.92",,"CDK1 (FI) DBF4","true",,"CDK1 (FI) DBF4"
"FI","PPrel: activated by; complex; input","<-","1.0",,"BRCA2 (FI) FANCD2","true",,"BRCA2 (FI) FANCD2"
"FI","predicted","-","0.9",,"NOL11 (FI) SRFBP1","true",,"NOL11 (FI) SRFBP1"
"FI","predicted","-","0.91",,"ATAD5 (FI) CHEK1","true",,"ATAD5 (FI) CHEK1"
"FI","predicted","-","0.9",,"ATAD2 (FI) KIF14","true",,"ATAD2 (FI) KIF14"
"FI","predicted","-","0.92",,"E2F7 (FI) PLK4","true",,"E2F7 (FI) PLK4"
"FI","complex; input; predicted","-","1.0",,"KIF15 (FI) TPX2","true",,"KIF15 (FI) TPX2"
"FI","activate; complex; input","->","1.0",,"HEATR1 (FI) MPHOSPH10","true",,"HEATR1 (FI) MPHOSPH10"
"FI","predicted","-","0.89",,"ZKSCAN1 (FI) ZNF780B","true",,"ZKSCAN1 (FI) ZNF780B"
"FI","predicted","-","0.92",,"BLM (FI) USP1","true",,"BLM (FI) USP1"
"FI","PPrel: ubiquitinated","-","1.0",,"FGFR3 (FI) NEDD4","true",,"FGFR3 (FI) NEDD4"
"FI","complex","-","1.0",,"AURKA (FI) PLK4","true",,"AURKA (FI) PLK4"
"FI","reaction","-","1.0",,"NCOA6 (FI) PPARGC1B","true",,"NCOA6 (FI) PPARGC1B"
"FI","PPrel: activated, indirect effect","<-","1.0",,"BIN1 (FI) PIK3CB","true",,"BIN1 (FI) PIK3CB"
"FI","predicted","-","0.89",,"ABCB10 (FI) SLC25A40","false",,"ABCB10 (FI) SLC25A40"
"FI","predicted","-","0.89",,"LCORL (FI) ZNF644","true",,"LCORL (FI) ZNF644"
"FI","complex","-","1.0",,"MPHOSPH10 (FI) UTP14A","true",,"MPHOSPH10 (FI) UTP14A"
"FI","predicted","-","0.93",,"KIF14 (FI) POLQ","true",,"KIF14 (FI) POLQ"
"FI","PPrel: activation","->","1.0",,"ERBB3 (FI) GAB1","true",,"ERBB3 (FI) GAB1"
"FI","complex; input","-","1.0",,"BRIP1 (FI) RAD50","true",,"BRIP1 (FI) RAD50"
"FI","complex; input","-","1.0",,"DYNC2LI1 (FI) WDR35","true",,"DYNC2LI1 (FI) WDR35"
"FI","predicted","-","0.92",,"CENPF (FI) RBL1","true",,"CENPF (FI) RBL1"
"FI","predicted","-","0.91",,"CENPK (FI) DEPDC1B","true",,"CENPK (FI) DEPDC1B"
"FI","catalyzed by","<-","1.0",,"BRIP1 (FI) GEN1","true",,"BRIP1 (FI) GEN1"
"FI","expression regulated by","<-","1.0",,"CDX2 (FI) SUZ12","true",,"CDX2 (FI) SUZ12"
"FI","catalyze; catalyzed by; complex; input","<->","1.0",,"BUB1B (FI) MAD2L1","true",,"BUB1B (FI) MAD2L1"
"FI","predicted","-","0.93",,"FANCD2 (FI) TMPO","true",,"FANCD2 (FI) TMPO"
"FI","predicted","-","0.93",,"ATR (FI) PRKDC","true",,"ATR (FI) PRKDC"
"FI","complex; input","-","1.0",,"IFT88 (FI) KIF3B","true",,"IFT88 (FI) KIF3B"
"FI","activated by","<-","1.0",,"ATR (FI) CCNA2","true",,"ATR (FI) CCNA2"
"FI","complex; input","-","1.0",,"HMMR (FI) TPX2","true",,"HMMR (FI) TPX2"
"FI","complex; input","-","1.0",,"AHCTF1 (FI) BUB1B","true",,"AHCTF1 (FI) BUB1B"
"FI","complex; input","-","1.0",,"CENPK (FI) PDS5A","true",,"CENPK (FI) PDS5A"
"FI","predicted","-","0.94",,"AURKA (FI) SKA3","true",,"AURKA (FI) SKA3"
"FI","predicted","-","0.95",,"BRCA1 (FI) DTL","true",,"BRCA1 (FI) DTL"
"FI","predicted","-","0.9",,"CDC7 (FI) DTL","true",,"CDC7 (FI) DTL"
