TF_PROT	BS_RNA	Type	22909821
AR	ATAD2	Unknown	14633669
AR	BSG	Unknown	16281084
AR	BTG1	Repression	16281084
AR	BTG2	Repression	21747169
AR	CDK20	Activation	24583551
AR	CDC6	Activation	18541154
AR	CDC6	Unknown	18794357
AR	CDH1	Repression	20191612
AR	CDH11	Unknown	17297473;18535113
AR	CDH2	Activation	21747169
AR	CDK20	Activation	15790678
AR	CDK6	Unknown	10076995
AR	CDKN1A	Activation	16281084
AR	CDKN1A	Repression	16281084
AR	CLK3	Repression	16446741
AR	CRH	Repression	11223178
AR	CRISP1	Unknown	11223178
AR	CRISP3	Unknown	18535113
AR	CTNNB1	Activation	16630558
AR	CYP7B1	Repression	11556855;21613411
AR	EGFR	Activation	18469865
AR	ELK4	Unknown	22334658
AR	EP300	Activation	21613411
AR	ERBB2	Activation	21741601
AR	ERBB2	Unknown	21741601
AR	ERBB3	Activation	19789348
AR	ETV1	Activation	23192983
AR	FKBP4	Unknown	21055159
AR	FN1	Unknown	12539223
AR	FOLH1	Unknown	12750453
AR	FOXA1	Unknown	23997240
AR	GNMT	Unknown	16496412
AR	GREB1	Unknown	9238003
AR	GTF2F1	Unknown	18174258
AR	HMMR	Unknown	11965035
AR	HMOX1	Activation	16494870
AR	IFI16	Unknown	15033751;17202144
AR	IGF1R	Activation	23859805
AR	IGFBP3	Unknown	20148354
AR	JUN	Activation	18331266
AR	KISS1	Activation	18331266
AR	KISS1R	Activation	19460858
AR	KLF5	Unknown	11532861
AR	KLK1	Unknown	11532861;16751804;20688158;9241247
AR	KLK2	Unknown	10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR	KLK3	Activation	16342680;9316650
AR	KLK3	Repression	11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
AR	KLK3	Unknown	12539223
AR	KLK4	Unknown	17483314
AR	MED1	Unknown	24913494
AR	MID1	Unknown	21308711
AR	MUC1	Repression	24512546
AR	MYC	Unknown	17210686
AR	NAT1	Activation	17075604
AR	NDRG1	Unknown	18386814
AR	NFKB1	Repression	16697957;17303007
AR	NKX3-1	Activation	11238180
AR	NKX3-1	Unknown	23318417
AR	NOV	Unknown	16281084
AR	NRAS	Repression	18497079
AR	PC	Activation	23330817
AR	PSCA	Unknown	23095933
AR	PEBP1	Unknown	11171058
AR	PIGR	Unknown	21809344
AR	PIP	Unknown	17075604;18703514
AR	PMEPA1	Unknown	10894149
AR	PNRC1	Unknown	24937452
AR	KLK3	Unknown	23418309
AR	PTEN	Activation	20729295;21532617
AR	PTEN	Unknown	18386814
AR	PTGS2	Repression	22282656
AR	PTPN1	Unknown	18386814
AR	RELA	Repression	24163104
AR	REST	Repression	16281084
AR	SEPT7	Repression	16304843
AR	SERPINB5	Repression	16751804
AR	SESN1	Unknown	22194926
AR	SRD5A3	Unknown	21432868
AR	STIM1	Unknown	9238003
AR	TBP	Unknown	12799378
AR	TCF7L2	Unknown	11556855
AR	TGFA	Activation	16356647
AR	TH	Activation	18535113
AR	TJP1	Activation	20308527;21761340
AR	TMPRSS2	Activation	23192983
AR	TMPRSS2	Unknown	15613454
AR	TRPS1	Unknown	21036700
AR	TSC1	Repression	21036700
AR	TSC2	Repression	23801677
AR	UCN	Repression	18302198
AR	UGT2B15	Unknown	20501646
AR	USP26	Unknown	16007189
AR	VEGFA	Activation	23369005
AR	VEGFA	Unknown	18535113
AR	VIM	Repression	16281084
AR	WEE1	Repression	21741601
AR	WNT7B	Activation	20589722
AR	XIAP	Repression	21900401
ARID1A	CDKN1A	Unknown	18981111
ARID1A	IGH	Activation	21900401
ARID1A	SMAD3	Unknown	18981111
ARID1B	IGH	Activation	23659165
ARID3A	CDC6	Unknown	23659165
ARID3A	CDK1	Unknown	19487031
ARID3A	CR2	Unknown	23659165
ARID3A	E2F1	Unknown	22010578
ARID3A	PML	Activation	23659165
ARID3A	RBL1	Unknown	18540824
ARNT	AHR	Unknown	12354771
ARNT	BHLHE40	Unknown	16567799
ARNT	BRCA1	Unknown	22387692
ARNT	CA9	Activation	21544813
ARNT	CCNE1	Repression	21544813
ARNT	CDK2	Repression	9611253
ARNT	CTSD	Unknown	22387692
ARNT	CYP1A1	Activation	12376470;19255421;19376845;8631128
ARNT	CYP1A1	Unknown	16115918;19287966
ARNT	CYP1B1	Activation	12376470;19255421;19376845;21742528;24299737
ARNT	CYP1B1	Unknown	15178343
ARNT	EGLN2	Unknown	8663540
ARNT	EPO	Activation	17991765
ARNT	ESR1	Unknown	21544813
ARNT	FOS	Repression	18335162
ARNT	GAD1	Unknown	14764593
ARNT	HIF1A	Activation	21544813
ARNT	JUN	Repression	21736709
ARNT	MFSD2A	Unknown	17900530
ARNT	RELB	Unknown	20854796
ARNT	UGT1A6	Unknown	16774940;19020709
ARNT	VEGFA	Unknown	19032342
ARNTL	BHLHE40	Activation	22750052
ARNTL	CRY1	Activation	17660446
ARNTL	CRY1	Unknown	22750052
ARNTL	CRY2	Activation	17660446
ARNTL	CRY2	Unknown	17994337;22750052
ARNTL	PER1	Activation	17660446;21479263
ARNTL	PER1	Unknown	22750052
ARNTL	PER2	Activation	17660446
ARNTL	PER2	Unknown	22750052
ARNTL	PER3	Activation	22198637
ARNTL2	SERPINE1	Activation	23246292
ARX	KDM5C	Unknown	23771350
ARX	LMO1	Unknown	23771350
ARX	PAX4	Unknown	23771350
ARX	SHOX2	Unknown	20124469
ASCL1	CHRNA3	Unknown	20124469
ASCL1	CHRNA5	Unknown	20124469
ASCL1	CHRNB4	Unknown	19744316
ASCL1	DKK1	Repression	20842449
ASCL1	IGF2	Repression	11736660
ASCL1	PCSK6	Repression	19744316
ASCL1	TPH1	Repression	22488473
ASH1L	TGFB1	Unknown	22488473
ASH1L	TIMP1	Unknown	21047783
ASXL1	FABP4	Unknown	10542244
ATF1	BCL2	Unknown	12044952
ATF1	CCNA1	Repression	10075672
ATF1	CFTR	Activation	10341006
ATF1	CGA	Unknown	11014212;11196473
ATF1	CYP11B1	Unknown	11196473
ATF1	CYP11B2	Unknown	10698518
ATF1	ERBB2	Unknown	7499271
ATF1	FLT1	Unknown	17565989
ATF1	FTH1	Activation	17565989
ATF1	FTH1	Repression	10585419
ATF1	GABPA	Unknown	10540320
ATF1	IL10	Activation	9632793
ATF1	LDHA	Unknown	20514020
ATF1	MAP1LC3B	Activation	12966428
ATF1	MITF	Activation	20068147
ATF1	MITF	Unknown	16227528
ATF1	MUC2	Unknown	7791794
ATF1	NTS	Unknown	8999965
ATF1	PCSK1	Activation	12369939
ATF1	PLAUR	Unknown	11722845
ATF1	SLC20A1	Activation	16809478
ATF1	SLC22A8	Unknown	11776974
ATF1	TGFB2	Activation	11108136
ATF1	TH	Unknown	12104051
ATF1	TOP2A	Unknown	7642633
ATF1	USP7	Unknown	9760243
ATF2	APOC3	Activation	10979959;20581861;8576171
ATF2	ATF3	Activation	10464245;10915780
ATF2	CCND1	Activation	10506225
ATF2	CDKN1A	Unknown	11014212;11196473
ATF2	CYP11B1	Unknown	11196473
ATF2	CYP11B2	Unknown	17681939
ATF2	DUSP1	Unknown	17681939
ATF2	DUSP10	Unknown	19670268
ATF2	FAS	Unknown	19670268;9710625
ATF2	FASLG	Unknown	10471826
ATF2	FN1	Unknown	18397884
ATF2	KAT5	Repression	17496231
ATF2	IFNB1	Activation	10848607
ATF2	IFNB1	Unknown	12836278;18641343;20006311;20304822
ATF2	IFNG	Activation	9278455
ATF2	IMPDH2	Unknown	21278380
ATF2	INS	Activation	10909971
ATF2	INS	Unknown	21878622
ATF2	ITGB8	Unknown	9502786
ATF2	JUN	Activation	9710625
ATF2	MAP3K1	Unknown	17079470;17258390
ATF2	MMP2	Activation	16497991
ATF2	NOS3	Repression	12453892
ATF2	PCK1	Activation	11042264
ATF2	PCK2	Unknown	8647095
ATF2	PLAT	Activation	10454570
ATF2	PLAU	Unknown	10518804
ATF2	POLB	Activation	11278336;12057991
ATF2	PTGS2	Unknown	21350211
ATF2	RELA	Activation	20360975
ATF2	RETN	Activation	21699754
ATF2	ST3GAL5	Activation	1400310
ATF2	TGFB2	Repression	10688670;10748079;10913190;20068037
ATF2	TNF	Activation	20696134
ATF3	ADIPOR1	Repression	20696134
ATF3	ADIPOR2	Repression	23002211
ATF3	AK4	Unknown	12881527
ATF3	ASNS	Activation	15385533
ATF3	ASNS	Unknown	10760799
ATF3	CCL5	Unknown	21454613
ATF3	CD82	Unknown	22753726
ATF3	DDIT3	Activation	15670751
ATF3	GDF15	Activation	20565867
ATF3	ID1	Repression	20304822
ATF3	IFNG	Activation	19219066
ATF3	PCLAF	Unknown	21294679
ATF3	LDLR	Repression	11792711;15102941
ATF3	MMP2	Repression	7935470
ATF3	PENK	Unknown	10964678
ATF3	SELE	Repression	22991139
ATF3	TP53	Unknown	22028770
ATF4	APOE	Activation	11960987;16164412;17276738
ATF4	ASNS	Activation	15385533;23403946
ATF4	ASNS	Unknown	16246168;21801305
ATF4	ATF3	Activation	22819556
ATF4	ATF3	Unknown	20038797
ATF4	ATG5	Activation	21866569
ATF4	BGLAP	Unknown	19564335
ATF4	CA9	Unknown	16931790
ATF4	CCL2	Unknown	16026328
ATF4	CEBPB	Activation	21737788
ATF4	CHAC1	Activation	16931790
ATF4	CXCL8	Unknown	16246168;17276738;20020050;21044953;21966512
ATF4	DDIT3	Activation	17455323;22691366
ATF4	DDIT3	Unknown	19059405;19439225
ATF4	DDIT4	Activation	20564243
ATF4	DDR2	Activation	12812986
ATF4	DISC1	Unknown	22848420
ATF4	F7	Unknown	23205607
ATF4	FGF19	Activation	22233381
ATF4	FGF21	Activation	23090478
ATF4	HRK	Activation	16205636
ATF4	HSPA5	Repression	16687408
ATF4	IGFBP1	Activation	16931790
ATF4	IL6	Unknown	21148039
ATF4	IRF7	Repression	20038797;20514020
ATF4	MAP1LC3B	Activation	22128141
ATF4	MCL1	Unknown	17822787
ATF4	NDC80	Activation	19946894
ATF4	NUPR1	Activation	18829529
ATF4	PLAU	Activation	21244365
ATF4	PTGS2	Unknown	19073601
ATF4	S100P	Unknown	22079628
ATF4	SIGMAR1	Activation	22363646
ATF4	SIRT1	Activation	21801305
ATF4	SIRT1	Repression	21801305
ATF4	SIRT2	Repression	21044953
ATF4	TNFRSF10B	Unknown	15775988
ATF4	TRIB3	Activation	20592469;21220698
ATF4	TRIB3	Unknown	15788408;18829529
ATF4	VEGFA	Activation	18451308;22915762;23908598
ATF4	VEGFA	Unknown	21212266
ATF5	BCL2	Activation	16300731
ATF5	CCND3	Activation	17140605
ATF5	CREB1	Activation	18332083
ATF5	CYP2B6	Activation	12812986
ATF5	DISC1	Unknown	19531563
ATF5	EGR1	Unknown	18701499
ATF5	ID1	Repression	18832568
ATF5	SH2D1A	Unknown	11595740
ATF6	ATP2A2	Unknown	22102412
ATF6	BGLAP	Unknown	17455323
ATF6	DDIT3	Unknown	12601012
ATF6	DNAJC3	Activation	12713871
ATF6	HSPA5	Unknown	18450959
ATF6	MAFA	Repression	18450959
ATF6	NR0B2	Activation	17686766
ATF6	NUCB1	Activation	18450959
ATF6	PDX1	Repression	17191123
ATF6	RTN3	Activation	9271374
ATF6	SRF	Unknown	16579971
ATF6	STARD4	Activation	21841196
ATF6	WBP1	Activation	20003459;24269637
ATF6	XBP1	Unknown	10698518
ATF7	ERBB2	Unknown	15735663
ATF7	TAF12	Activation	18077224
ATM	APLF	Unknown	16214353
ATM	BAX	Activation	16214353
ATM	BCL2	Repression	12420214
ATM	CDKN1A	Unknown	19351839
ATM	CFLAR	Activation	20876284
ATM	CFLAR	Repression	17178844
ATM	DUSP1	Activation	19502594
ATM	FAS	Activation	21518729
ATM	FOXM1	Activation	20164679
ATM	GADD45A	Activation	11172010
ATM	IGF1R	Unknown	19767562
ATM	KLRK1	Activation	20164679
ATM	MCL1	Activation	12926986
ATM	MTF1	Unknown	15220931
ATM	PBK	Unknown	22362778
ATM	PCNA	Unknown	20368352
ATM	PMAIP1	Repression	21406724
ATM	PVR	Activation	21406724
ATM	PVR	Repression	20676049
ATM	SLC2A1	Repression	11466608
ATM	SP1	Repression	12926986
ATM	SP1	Unknown	17694070
ATM	TERF1	Repression	19351839
ATM	TNFRSF10B	Repression	20676049
ATM	VEGFA	Repression	17826772
ATOH1	HES6	Activation	17000673
ATOH1	MUC2	Activation	7697714
ATRX	HBA1	Repression	7697714
ATRX	HBA2	Repression	17942419
BACH1	HMOX1	Activation	17409198;18550526;21982894
BACH1	HMOX1	Repression	21873975
BACH1	MMP1	Activation	18929412
BACH2	BCL2	Unknown	18769450
BACH2	IL2	Unknown	24821775
BACH2	XBP1	Repression	20060929
BARD1	ESR1	Activation	16636675
BARX2	ESR1	Unknown	22592317
BATF	CD2	Unknown	23071749
BCL11A	GATA1	Activation	20542454
BCL11A	GATA1	Unknown	21912613
BCL3	CTCF	Repression	17881446
BCL3	EGFR	Activation	9694711
BCL3	MYB	Unknown	11387332
BCL3	NFKB1	Repression	14573596;7896265
BCL3	NFKB1	Unknown	7896265
BCL3	RELA	Unknown	11777915
BCL6	BCL2L1	Repression	12407182
BCL6	BCL6	Repression	15509806;22723377
BCL6	CCND2	Repression	12860928
BCL6	CD80	Repression	16142238
BCL6	CDKN1A	Repression	22723377
BCL6	CDKN2B	Repression	18346918
BCL6	CHEK1	Repression	11342629
BCL6	FCER2	Repression	11929873
BCL6	HDAC7	Repression	10601358
BCL6	IRF4	Repression	23795761
BCL6	LITAF	Repression	21394099
BCL6	MYC	Activation	15611242
BCL6	NFKB1	Repression	20605493
BCL6	PDCD2	Repression	11854457;17468402
BCL6	PDCD2	Unknown	17951530
BCL6	STAT3	Unknown	22723377
BCL6	SUMO1	Repression	24821775
BCL6	XBP1	Repression	12734418
BDP1	MYC	Unknown	12734418
BDP1	RB1	Unknown	12734418
BDP1	TP53	Unknown	18223678
BHLHE41	CCND1	Repression	24165159
BHLHE41	MLH1	Repression	9797456
BIN1	MYC	Unknown	19903340
BMI1	TERT	Repression	16728976
BPTF	HOXC8	Unknown	20103632
BRCA1	AREG	Repression	16123590
BRCA1	ASPM	Activation	22832221
BRCA1	ATM	Activation	14576433
BRCA1	BACH1	Unknown	11405179
BRCA1	BRCA2	Unknown	21296416
BRCA1	CASR	Unknown	12647291
BRCA1	CCNB1	Unknown	12032322
BRCA1	CCND1	Unknown	22120723
BRCA1	CDH3	Repression	19882246
BRCA1	CDH3	Unknown	16735508;18025037;21245169
BRCA1	CDKN1A	Activation	10196224;11394910;12647291;9926942
BRCA1	CDKN1A	Unknown	18025037
BRCA1	CDKN1B	Activation	16331276
BRCA1	CDKN1B	Unknown	11244506
BRCA1	CTSD	Repression	22120723
BRCA1	CXCL1	Repression	21087664
BRCA1	CYP19A1	Activation	19445691
BRCA1	CYP19A1	Unknown	16567799
BRCA1	CYP1A1	Unknown	16567799
BRCA1	CYP1B1	Unknown	12170778
BRCA1	DDB2	Activation	21700680
BRCA1	DDIT3	Activation	17096023
BRCA1	E2F6	Repression	21396117
BRCA1	EGFR	Repression	20103632
BRCA1	EGR1	Unknown	11782371
BRCA1	EP300	Activation	11405179
BRCA1	EP300	Unknown	20060929
BRCA1	ESR1	Activation	11313879
BRCA1	FOS	Unknown	22120723
BRCA1	FOXC1	Repression	22120723
BRCA1	FOXC2	Repression	22685544
BRCA1	FST	Activation	10962562;17428466;18025037
BRCA1	GADD45A	Activation	18350249
BRCA1	GADD45A	Repression	11777930;12647291
BRCA1	GADD45A	Unknown	16543242
BRCA1	HIF1A	Unknown	20007691
BRCA1	HMGA2	Repression	21099359
BRCA1	HNRNPA2B1	Repression	18776923
BRCA1	HSPA5	Repression	17374731
BRCA1	IFNA1	Activation	18045956
BRCA1	IGF1	Repression	11001824;19223505
BRCA1	IGF1R	Unknown	17374731
BRCA1	IRF7	Activation	12212615
BRCA1	IRF9	Activation	11163768
BRCA1	JAK1	Unknown	11163768
BRCA1	JAK2	Unknown	21099359
BRCA1	KHSRP	Repression	19882246
BRCA1	KRT17	Unknown	15831101
BRCA1	KRT18	Unknown	16241993;19882246
BRCA1	KRT5	Unknown	15563594
BRCA1	MAD2L1	Activation	22942284
BRCA1	MDC1	Unknown	11256609
BRCA1	MDM2	Activation	12032322;12646176
BRCA1	MYC	Unknown	15940267
BRCA1	RNASEL	Activation	24556685
BRCA1	S100A2	Activation	18851829;20160719;21407215;9000507
BRCA1	SIRT1	Activation	17374731
BRCA1	STAT1	Activation	17374731
BRCA1	STAT2	Activation	11163768
BRCA1	STAT3	Unknown	11244506
BRCA1	TFF1	Repression	16241993
BRCA1	TP63	Unknown	16543242
BRCA1	VEGFA	Activation	12647291
BRCA1	XPC	Unknown	17541404
BRCA2	DMC1	Unknown	17563742
BRCA2	PSMD3	Unknown	17563742
BRCA2	PSMD6	Unknown	12967658;17515904;19628690;20729859
BRCA2	RAD51	Unknown	12600283
BRD7	BRD2	Activation	12600283
BRD7	BRD3	Activation	16475162
BRD7	E2F3	Repression	15137061
BRD7	E2F3	Unknown	20451671
BRIP1	BARD1	Unknown	24351291
BRIP1	MLH1	Unknown	18794358
BRPF1	ING5	Unknown	18794358
BRPF1	MEAF6	Unknown	20627952
BTAF1	DR1	Repression	20627952
BTAF1	TBP	Repression	14988402;15509807;16858867
BTAF1	TBP	Unknown	17312387
BTF3	ABL2	Activation	17312387
BTF3	ATM	Activation	17312387
BTF3	EPHB2	Activation	17312387
BTF3	HPSE2	Activation	17312387
BTF3	MADCAM1	Repression	17312387
BTF3	MRVI1	Repression	17312387
BTF3	NFKB1	Repression	17312387
BTF3	RRAS2	Repression	17312387
BTF3	SSPN	Repression	15870875;16849553
BTG2	CCND1	Repression	20197462
BTG2	HRAS	Repression	21172304
BTG2	KLK3	Repression	16516161
BTG2	SPHK1	Activation	18456661
CBFA2T3	TCF12	Unknown	20116376
CBFA2T3	ZNF652	Repression	8683991
CBFB	GATA1	Unknown	24648201
CBFB	RUNX1	Unknown	24648201
CBFB	RUNX2	Unknown	24648201
CBFB	RUNX3	Unknown	22214847
CBX7	CCNE1	Repression	19706751
CBX7	CDH1	Activation	23474493
CBX8	CDKN1A	Repression	11544257
CDC5L	PLRG1	Unknown	20980443
CDCA7L	MAOB	Repression	18819935
CDX1	DSC2	Unknown	23185413
CDX1	IRF2BP2	Unknown	19188603
CDX1	KRT20	Unknown	11743638
CDX1	PCNA	Activation	22215184
CDX1	POSTN	Unknown	19059241
CDX1	PPARG	Activation	21613300
CDX1	PTGS2	Activation	17158164
CDX1	TBP	Unknown	20699370
CDX2	ABCB1	Unknown	16274362
CDX2	ACAT2	Activation	23393221
CDX2	APC	Activation	24501326
CDX2	APC	Unknown	23393221
CDX2	AXIN2	Activation	24501326
CDX2	AXIN2	Unknown	20568120
CDX2	CDH17	Activation	12404231;15732140
CDX2	CDH17	Unknown	12970742
CDX2	CDKN1A	Activation	22671145
CDX2	CFTR	Activation	18819935
CDX2	DSC2	Unknown	20127720
CDX2	ELMO3	Activation	22547830
CDX2	FUT2	Activation	24501326
CDX2	GSK3B	Unknown	22580340
CDX2	GSPT1	Unknown	22580340
CDX2	GSTP1	Unknown	11684084
CDX2	GUCY2C	Unknown	15825077
CDX2	HEPH	Activation	17297462
CDX2	IGFBP3	Repression	11521200
CDX2	KLF4	Activation	23202735
CDX2	KLF4	Unknown	9148757
CDX2	LCT	Activation	22326557
CDX2	MEP1A	Activation	16737958
CDX2	MUC17	Unknown	12559945
CDX2	MUC2	Activation	15013430
CDX2	PTGS2	Repression	23133598
CDX2	REG4	Unknown	16616718
CDX2	SLC15A1	Activation	11254504
CDX2	SLC9A2	Unknown	22580340
CDX2	SP1	Unknown	17182120
CDX2	TFF3	Activation	15044625
CDX2	UGT1A10	Activation	15044625
CDX2	UGT1A8	Activation	20070244
CDX2	UGT2B15	Unknown	20070244
CDX2	UGT2B17	Unknown	11450701;16604479;16883525;19960008
CDX2	VDR	Unknown	15924879
CEBPA	AFP	Unknown	10542249
CEBPA	ALB	Unknown	12970736
CEBPA	BCL2	Repression	24429361
CEBPA	CCL2	Activation	10725797
CEBPA	CD163	Unknown	18524846
CEBPA	CRMP1	Unknown	9632776
CEBPA	CSF1	Unknown	7565736
CEBPA	CSF2RA	Unknown	10453008
CEBPA	CSF3R	Activation	18555777
CEBPA	CXCR2	Unknown	15100175
CEBPA	CYP3A4	Unknown	10706719
CEBPA	DEFA1	Unknown	10706719
CEBPA	DEFA3	Unknown	19620402
CEBPA	ELANE	Activation	16247445
CEBPA	ELANE	Unknown	8075306
CEBPA	F9	Activation	1320003
CEBPA	FN1	Unknown	12842822
CEBPA	GAPDH	Unknown	18671304
CEBPA	HAMP	Activation	24584857
CEBPA	HK3	Unknown	14645007
CEBPA	HOMER3	Unknown	21549806
CEBPA	HSD17B11	Activation	2247079
CEBPA	HSPA4	Activation	9916895
CEBPA	ICAM1	Unknown	22568493
CEBPA	ID1	Unknown	7708053
CEBPA	IGF1	Activation	7659086
CEBPA	IGF2	Unknown	12219016
CEBPA	IL10	Unknown	10453008
CEBPA	IL3	Unknown	10453008
CEBPA	IL5	Unknown	11975924
CEBPA	IL6	Unknown	8288055
CEBPA	INSR	Activation	9360988
CEBPA	ITGAX	Activation	21983012
CEBPA	LEP	Activation	21345218
CEBPA	MAD1L1	Unknown	9743233
CEBPA	MSR1	Unknown	12032779
CEBPA	MYC	Repression	12237288
CEBPA	PCK1	Unknown	11042264
CEBPA	PCK2	Unknown	17187171
CEBPA	PRL	Unknown	9706399
CEBPA	S100A9	Activation	12410800
CEBPA	SAA1	Unknown	8910619
CEBPA	SERPINC1	Activation	11912209
CEBPA	SFTPD	Activation	11031103
CEBPA	SLC10A1	Unknown	19332118
CEBPA	SOCS3	Activation	24429361
CEBPA	SPI1	Unknown	14712233
CEBPA	SPP1	Activation	18583320
CEBPA	STAR	Activation	24429361
CEBPA	STAT3	Unknown	15294971
CEBPA	TLR9	Unknown	10064725
CEBPA	VLDLR	Unknown	15044620
CEBPB	ABCB1	Activation	9480831
CEBPB	ADM	Activation	12630823
CEBPB	ADM	Unknown	10542249
CEBPB	ALB	Unknown	15385533
CEBPB	ASNS	Unknown	19043455
CEBPB	BCL2L1	Unknown	9030974
CEBPB	BTS1	Unknown	15041706
CEBPB	CDKN1A	Activation	19487031
CEBPB	CR2	Unknown	12667216;23361365
CEBPB	CRP	Activation	10453008
CEBPB	CSF3R	Activation	10855690
CEBPB	CSH1	Unknown	10855690
CEBPB	CSH2	Unknown	14522018
CEBPB	CSRP1	Activation	15085176;15688424
CEBPB	CXCL8	Activation	11120852
CEBPB	CXCL8	Unknown	11994385
CEBPB	CYP19A1	Repression	7635140;8603036
CEBPB	CYP19A1	Unknown	19521987
CEBPB	DAPK1	Unknown	16757577
CEBPB	DDIT3	Unknown	10959692
CEBPB	F8	Unknown	12496392
CEBPB	FASLG	Unknown	8132667
CEBPB	FURIN	Activation	11012671
CEBPB	GADD45G	Unknown	24086573
CEBPB	GDF15	Activation	20690902
CEBPB	GFER	Repression	20382118
CEBPB	GFER	Unknown	12460196
CEBPB	GNLY	Unknown	15833715
CEBPB	HBB	Unknown	11331273
CEBPB	HP	Unknown	11801594
CEBPB	HSF1	Unknown	12493739
CEBPB	IL10	Unknown	22981205
CEBPB	IL13	Unknown	17386941
CEBPB	IL1B	Activation	10383163;10801783
CEBPB	IL1B	Unknown	10942517
CEBPB	IL24	Unknown	10453008
CEBPB	IL3	Unknown	7594540
CEBPB	IL4	Activation	15048722
CEBPB	IL4	Unknown	10453008
CEBPB	IL5	Unknown	10903137;8725624
CEBPB	IL6	Activation	11120852
CEBPB	IL6	Unknown	8288055
CEBPB	INSR	Activation	19717648
CEBPB	IRF4	Activation	21345218
CEBPB	MAD1L1	Unknown	19723873
CEBPB	MMP1	Unknown	21734268
CEBPB	OXTR	Activation	8093246
CEBPB	PCK2	Activation	19652226
CEBPB	PLAC1	Unknown	19717648
CEBPB	PRDM1	Activation	10455153
CEBPB	PRL	Unknown	18462069
CEBPB	PRSS50	Activation	16820889;18294142
CEBPB	PTGS2	Activation	18820298
CEBPB	PTGS2	Repression	10956548;16699180;17556653;7559624
CEBPB	PTGS2	Unknown	11696979
CEBPB	PTPN13	Unknown	9706399
CEBPB	S100A9	Activation	12410800
CEBPB	SAA1	Unknown	8244997
CEBPB	SAA2	Activation	11912209
CEBPB	SFTPD	Activation	11031103
CEBPB	SLC10A1	Unknown	15652157
CEBPB	SLC19A1	Activation	20082847
CEBPB	SLC5A8	Activation	18583320
CEBPB	STAR	Activation	10473624;11111087;19150388
CEBPB	STAR	Unknown	12297725
